date,product_id,price,competitor_price,quantity_sold,cost_per_unit,promotion_flag,is_weekend,channel,region,year,month,day_of_week,day_of_year,log_quantity,log_price,log_competitor_price,sin_doy,cos_doy,product_A,product_B
2021-01-01,A,107.45,114.93,8,60,0,0,Online,East,2021,1,4,1,2.0918640616783932,4.67702562308852,4.744323247380668,0.017213356155834685,0.9998518392091162,1,0
2021-01-02,A,98.58,93.66,8,60,0,1,Store,North,2021,1,5,2,2.0918640616783932,4.590868401277231,4.539671203755396,0.03442161162274574,0.9994074007397048,1,0
2021-01-03,A,91.29,82.62,9,60,0,1,Online,West,2021,1,6,3,2.2082744135228043,4.514041252576989,4.414251781968619,0.051619667223253764,0.998666816288476,1,0
2021-01-04,A,100.33,97.32,8,60,0,0,Store,East,2021,1,0,4,2.0918640616783932,4.608464752937522,4.578004517915322,0.06880242680231986,0.9976303053065857,1,0
2021-01-05,A,121.98,110.99,7,60,0,0,Online,East,2021,1,1,5,1.9600947840472698,4.8038570968683105,4.709440107163888,0.08596479873744647,0.9962981749346078,1,0
2021-01-06,A,106.26,104.68,8,60,0,0,Store,South,2021,1,2,6,2.0918640616783932,4.665888921022797,4.650908077661946,0.10310169744743485,0.9946708199115211,1,0
2021-01-07,A,91.0,80.01,10,60,0,0,Online,East,2021,1,3,7,2.312535423847214,4.51085950651685,4.382151626862033,0.1202080448993527,0.9927487224577402,1,0
2021-01-08,A,116.95,105.49,7,60,0,0,Online,West,2021,1,4,8,1.9600947840472698,4.761746493030188,4.658616161693717,0.13727877211326478,0.9905324521322229,1,0
2021-01-09,A,103.13,104.58,8,60,0,1,Store,South,2021,1,5,9,2.0918640616783932,4.635990328327978,4.649952328759984,0.15430882066428117,0.9880226656636976,1,0
2021-01-10,A,72.0,81.22,12,60,0,1,Online,South,2021,1,6,10,2.4932054526026954,4.276666119016055,4.397161522258152,0.1712931441814776,0.9852201067560606,1,0
2021-01-11,A,84.86,79.04,10,60,1,0,Online,West,2021,1,0,11,2.312535423847214,4.441002839774179,4.369954053439613,0.1882267098432442,0.9821256058680006,1,0
2021-01-12,A,77.35,72.62,11,60,0,0,Online,North,2021,1,1,12,2.4069451083182885,4.348340577019075,4.28524036598619,0.2051044998686192,0.9787400799669153,1,0
2021-01-13,A,89.85,76.52,12,60,1,0,Store,East,2021,1,2,13,2.4932054526026954,4.498141613229568,4.337552144572052,0.22192151300416552,0.9750645322571948,1,0
2021-01-14,A,107.14,120.84,10,60,0,0,Store,North,2021,1,3,14,2.312535423847214,4.674136390452814,4.794467356518472,0.2386727660059501,0.9711000518829505,1,0
2021-01-15,A,77.38,67.25,12,60,0,0,Online,East,2021,1,4,15,2.4932054526026954,4.348728349272367,4.208417018481948,0.255353295116187,0.9668478136052775,1,0
2021-01-16,A,76.39,77.79,14,60,0,1,Store,East,2021,1,5,16,2.6461747973841225,4.335851797553269,4.354012888218683,0.2719581575341055,0.9623090774541486,1,0
2021-01-17,A,105.42,113.99,12,60,0,1,Online,East,2021,1,6,17,2.4932054526026954,4.6579523714270605,4.736110725248687,0.288482432880609,0.9574851883550393,1,0
