date,product_id,price,competitor_price,quantity_sold,cost_per_unit,promotion_flag,is_weekend,channel,region,year,month,day_of_week,day_of_year
2021-01-01,A,107.45,114.93,8,60,0,0,Online,East,2021,1,4,1
2021-01-02,A,98.58,93.66,8,60,0,1,Store,North,2021,1,5,2
2021-01-03,A,91.29,82.62,9,60,0,1,Online,West,2021,1,6,3
2021-01-04,A,100.33,97.32,8,60,0,0,Store,East,2021,1,0,4
2021-01-05,A,121.98,110.99,7,60,0,0,Online,East,2021,1,1,5
2021-01-06,A,106.26,104.68,8,60,0,0,Store,South,2021,1,2,6
2021-01-07,A,91.0,80.01,10,60,0,0,Online,East,2021,1,3,7
2021-01-08,A,116.95,105.49,7,60,0,0,Online,West,2021,1,4,8
2021-01-09,A,103.13,104.58,8,60,0,1,Store,South,2021,1,5,9
2021-01-10,A,72.0,81.22,12,60,0,1,Online,South,2021,1,6,10
2021-01-11,A,84.86,79.04,10,60,1,0,Online,West,2021,1,0,11
2021-01-12,A,77.35,72.62,11,60,0,0,Online,North,2021,1,1,12
2021-01-13,A,89.85,76.52,12,60,1,0,Store,East,2021,1,2,13
2021-01-14,A,107.14,120.84,10,60,0,0,Store,North,2021,1,3,14
2021-01-15,A,77.38,67.25,12,60,0,0,Online,East,2021,1,4,15
2021-01-16,A,76.39,77.79,14,60,0,1,Store,East,2021,1,5,16
2021-01-17,A,105.42,113.99,12,60,0,1,Online,East,2021,1,6,17
2021-01-18,A,97.74,89.0,10,60,1,0,Online,North,2021,1,0,18
2021-01-19,A,113.55,105.01,8,60,0,0,Store,West,2021,1,1,19
2021-01-20,A,102.04,108.0,12,60,1,0,Store,South,2021,1,2,20
2021-01-21,A,113.73,124.09,9,60,0,0,Store,East,2021,1,3,21
2021-01-22,A,88.39,84.58,12,60,1,0,Online,East,2021,1,4,22
2021-01-23,A,119.11,132.0,9,60,0,1,Online,North,2021,1,5,23
2021-01-24,A,129.18,120.24,8,60,0,1,Online,West,2021,1,6,24
2021-01-25,A,128.29,123.04,9,60,1,0,Store,South,2021,1,0,25
2021-01-26,A,116.3,104.02,11,60,1,0,Online,South,2021,1,1,26
2021-01-27,A,90.11,84.13,13,60,1,0,Online,South,2021,1,2,27
2021-01-28,A,72.0,73.14,15,60,0,0,Online,West,2021,1,3,28
2021-01-29,A,111.87,107.43,8,60,0,0,Store,East,2021,1,4,29
2021-01-30,A,107.69,96.4,11,60,0,1,Store,East,2021,1,5,30
2021-01-31,A,125.6,107.38,9,60,0,1,Online,West,2021,1,6,31
2021-02-01,A,106.42,117.2,7,60,0,0,Store,South,2021,2,0,32
2021-02-02,A,112.2,122.88,8,60,0,0,Online,South,2021,2,1,33
2021-02-03,A,115.01,104.27,9,60,0,0,Store,West,2021,2,2,34
2021-02-04,A,109.26,95.63,10,60,0,0,Store,West,2021,2,3,35
2021-02-05,A,72.25,81.79,19,60,1,0,Online,South,2021,2,4,36
2021-02-06,A,127.99,133.82,10,60,0,1,Store,North,2021,2,5,37
2021-02-07,A,80.05,76.84,14,60,0,1,Store,West,2021,2,6,38
2021-02-08,A,86.99,83.53,12,60,0,0,Online,South,2021,2,0,39
2021-02-09,A,99.83,111.99,11,60,0,0,Online,North,2021,2,1,40
2021-02-10,A,96.03,87.25,13,60,0,0,Online,East,2021,2,2,41
2021-02-11,A,99.83,93.22,13,60,1,0,Store,North,2021,2,3,42
2021-02-12,A,98.14,111.88,15,60,1,0,Store,East,2021,2,4,43
